wallet_number,contract_function,label,public_key,tx_hash,tx_link,status
1,"verify_credential","Kyoto University Innovation Credential","GCLMLIH6V74V4JELAA7A3KXNIUGQDY7UYJZ6TYBRJJJ4FNLL46LL7DY3","07f5ab3cbb9d9a7531347382ba95e1bd44ed39f74ddf6ad0b1a07ea6d41a7fd9","https://stellar.expert/explorer/testnet/tx/07f5ab3cbb9d9a7531347382ba95e1bd44ed39f74ddf6ad0b1a07ea6d41a7fd9","SUCCESS"
2,"verify_credential","Tsinghua University Alumni Validator","GCJMPFPB6RQAVQYETLQNG44JKO24WPFNNX2SH2AHAFOKIBGYFKRP5K37","b7e100442f1ef7a4493ed6a1365f025007f4dba52fc21e36effd580b789da4b0","https://stellar.expert/explorer/testnet/tx/b7e100442f1ef7a4493ed6a1365f025007f4dba52fc21e36effd580b789da4b0","SUCCESS"
3,"register_institution","Toronto Metropolitan University Scan","GDR5AHGCRNJM7GRRESNYWIYOJTJTAZWAGHBQ4GI2JAQ4PS7MB5TE5LZT","3df34179ab9d72a523b06d1b13b3be690177042d60123c9d3ba36656ba50c5d8","https://stellar.expert/explorer/testnet/tx/3df34179ab9d72a523b06d1b13b3be690177042d60123c9d3ba36656ba50c5d8","SUCCESS"
4,"register_institution","University of Cape Town Diploma Read","GDX3LKGZAPR477BMS4DS3PLGM3KGE44DQINNBD2KY6FMCKT2FP2LYBXE","050a54f8992a02daede660e181f703b448cbd54c53f7a2eb6772f6ab32843040","https://stellar.expert/explorer/testnet/tx/050a54f8992a02daede660e181f703b448cbd54c53f7a2eb6772f6ab32843040","SUCCESS"
5,"verify_credential","University of Melbourne Qualification Audit","GAXO35OEANAEKIBQ7XJ3KDTJ3P7GGJNWCIX5ZAUSPBE3EFOXJC7NSUZD","d0197f3f5da57a2157e11d2c531896a3b6c0557c1321eb2322322d84da61a192","https://stellar.expert/explorer/testnet/tx/d0197f3f5da57a2157e11d2c531896a3b6c0557c1321eb2322322d84da61a192","SUCCESS"
6,"credential_exists","Tokyo Institute of Technology Verification","GB3FUNV4MHIXR2IN2QPSRPNFET33P35OHU6Y7M46HEWQB5APMG27JXBX","c0b5a694d704bd4bbdfc1256134bb17279bb571ea1349dfb3ec9495a873cbf6c","https://stellar.expert/explorer/testnet/tx/c0b5a694d704bd4bbdfc1256134bb17279bb571ea1349dfb3ec9495a873cbf6c","SUCCESS"
7,"register_institution","Seoul National University Tech Hash","GCPBXGWSA53B2ANFVCZTVFTM2WQ3UPWNH3V57JV76ZQ2RE3KRIPSHZRV","83c2f5c12d2e70b2a48cdb60ee7c668b7e9e82b4656090aa3a2e1cce63200b72","https://stellar.expert/explorer/testnet/tx/83c2f5c12d2e70b2a48cdb60ee7c668b7e9e82b4656090aa3a2e1cce63200b72","SUCCESS"
8,"register_institution","National University of Singapore Credentials","GDZSVQVKUYHN6JTAEFCRFK6DJYL7FT7JF3SDC2RVRFTHME2BNTA34CR2","f071407ad8ff79a7bfdc264cedcf267d5e429480a2d13f1a219a33e64df2e53b","https://stellar.expert/explorer/testnet/tx/f071407ad8ff79a7bfdc264cedcf267d5e429480a2d13f1a219a33e64df2e53b","SUCCESS"
9,"credential_exists","Sorbonne University Humanities Proof","GAY2KOLHOD5UEVHZXDXGYCLICHAXDARPBE5P2XBZ2SS6DRUE2HXSU5ST","5cae305e0b964347574d37a30dd384ea7d00735d160dd99880c906c420447a61","https://stellar.expert/explorer/testnet/tx/5cae305e0b964347574d37a30dd384ea7d00735d160dd99880c906c420447a61","SUCCESS"
10,"credential_exists","ETH Zurich Scientific Record Check","GC7STYZF73KE75D6QHRMQ5Y76ITVWUK3NVGOLCLSOQV3YJFWYIHPPLUD","393438121012e6ebdd37c6c32004fb4593d6012915a0ca24672503d7b8d478b2","https://stellar.expert/explorer/testnet/tx/393438121012e6ebdd37c6c32004fb4593d6012915a0ca24672503d7b8d478b2","SUCCESS"
