wallet_number,contract_function,label,public_key,tx_hash,tx_link,status
1,"verify_credential","Yale Legal Compliance Credential","GBQVCCTHE2QLQOQHJVFWVGDDCEL2YT7334UXG33WDZGSN6Z5FLNPPAXW","ca5085ca404d6c4dee86bc0092d1c60152ed59ba20dfe3d47889203ec8d6a6a3","https://stellar.expert/explorer/testnet/tx/ca5085ca404d6c4dee86bc0092d1c60152ed59ba20dfe3d47889203ec8d6a6a3","SUCCESS"
2,"credential_exists","USC Cinematic Arts Validation","GBMLJFCZMSI2DM4OVTYKR75JHUBCSCCAUWL2IR2UTVMLCIRKEEG6TJJB","8b0ae7a52f1d611e72165a34f48e8f214cfea8c19e4075544ff680e7503f45fc","https://stellar.expert/explorer/testnet/tx/8b0ae7a52f1d611e72165a34f48e8f214cfea8c19e4075544ff680e7503f45fc","SUCCESS"
3,"register_institution","Carnegie Mellon AI Ethics Board","GCS3PHIIN74D7OU6ID6WOZD745LMQSWANRPLQ2U3YFCD5Q5AX5IBVBP3","3d12e20c704a48c1420f4023e4e1ab94a4861557c167a32f57371c57ac244296","https://stellar.expert/explorer/testnet/tx/3d12e20c704a48c1420f4023e4e1ab94a4861557c167a32f57371c57ac244296","SUCCESS"
4,"credential_exists","Duke IT Security Credentialing","GCQDS22F2XRAVI6H2HK6U65PDVMG7QDQEDIAPWE4NLMF7VBEB5SW5BRY","4fd106a5f1f7417c526e216099a02a16a726f7c138e5b8302d3f387731eb495c","https://stellar.expert/explorer/testnet/tx/4fd106a5f1f7417c526e216099a02a16a726f7c138e5b8302d3f387731eb495c","SUCCESS"
5,"verify_credential","Chicago Economics Validator","GCWQ7IVDT7ASEVMW45SJQZOABU6AQSHFL5V4C7I6HOGPL74YK3O4GLJJ","fbcb9c6a647c9bb1fe20962fdba13a1384f839f9101f7a9b3c79371df4fabc11","https://stellar.expert/explorer/testnet/tx/fbcb9c6a647c9bb1fe20962fdba13a1384f839f9101f7a9b3c79371df4fabc11","SUCCESS"
6,"credential_exists","Johns Hopkins Medical Record Audit","GA7OQQKXRECE47DRYHRFI2BSFWNIXIKOXOSVF2AFNDKXQDTGPORXDACX","111f00b3095dc11b6fc0329ba9dbf58ad77dccd77e2d0e7a8791679d9ba5ffb3","https://stellar.expert/explorer/testnet/tx/111f00b3095dc11b6fc0329ba9dbf58ad77dccd77e2d0e7a8791679d9ba5ffb3","SUCCESS"
7,"credential_exists","Cambridge Scientific Certification","GDS4BJ7THMQZDSJNFOP6K6HRKIDY3ATO75ZHMM4DLBIGB6SMOKQJRNWN","67a52afdf911c8ea65d0b6f57d4134b3df20ed4f6f1c6e00b08002da3b30988e","https://stellar.expert/explorer/testnet/tx/67a52afdf911c8ea65d0b6f57d4134b3df20ed4f6f1c6e00b08002da3b30988e","SUCCESS"
8,"register_institution","Columbia Journalism Record Check","GANSDJKD6HUYYV4N5FEYLYY66DEY4CICCP3IUX3H6AOPDADPYY3LAQNN","4a2b2563dedfe7c9e502947ed7223d479bea0dc61374633c6e932acb254ca68b","https://stellar.expert/explorer/testnet/tx/4a2b2563dedfe7c9e502947ed7223d479bea0dc61374633c6e932acb254ca68b","SUCCESS"
9,"credential_exists","Texas A&M Energy Sector Credential","GDP6ON74NIGE7XJATHCEVWJMI5FENFMY3G3QF43VK276OQKFQF2WRJOS","036d5d08a9c2d7e5c2a6b1553e083f3d3dc466d4aecd8518873260ef0d8cd138","https://stellar.expert/explorer/testnet/tx/036d5d08a9c2d7e5c2a6b1553e083f3d3dc466d4aecd8518873260ef0d8cd138","SUCCESS"
10,"verify_credential","Harvard Business School Alumni Check","GD4JB44DPEPBIGQPZDIFJMK2UOQI32OHFUF3N3E7S4LJCOMI3HBYFXOP","d8d8e266c3656a051b4cb4618e2c4aa49205a9632e7ff294f183fd50b6ca3456","https://stellar.expert/explorer/testnet/tx/d8d8e266c3656a051b4cb4618e2c4aa49205a9632e7ff294f183fd50b6ca3456","SUCCESS"
11,"register_institution","Dartmouth Environmental Science Audit","GD5XBC6MAN3SZCWQV34VGSCSDIURBRY6GXQOSLEXEXL2EVHPWPMOIIW3","e9ffd742f8258f98127514a3725be964501f46b3ab303b0054c7426aeddf86bb","https://stellar.expert/explorer/testnet/tx/e9ffd742f8258f98127514a3725be964501f46b3ab303b0054c7426aeddf86bb","SUCCESS"
12,"register_institution","Princeton Financial Auditor Board","GCZVMTEPP3E6JWQJN4W4CWB6P7COFZ6OEA7JTFUNFUHVNNALXFTQSBUY","0471d55fd49e1b28c65ca223f9ed9de6f81244e0f5af8907b931cc0beda107d3","https://stellar.expert/explorer/testnet/tx/0471d55fd49e1b28c65ca223f9ed9de6f81244e0f5af8907b931cc0beda107d3","SUCCESS"
13,"verify_credential","Northwestern Communications Certificate","GCRN4DTYHPQRCDNCBLVRWIW6OKEB2EEI3R2AI2KXF2ATCGL24OVZBETW","1af9c79786a7f56ae4066baf73d53a24e7c12f17db60dfcba57b39969780bc53","https://stellar.expert/explorer/testnet/tx/1af9c79786a7f56ae4066baf73d53a24e7c12f17db60dfcba57b39969780bc53","SUCCESS"
14,"credential_exists","Oxford Medical Board Verification","GAHM2KE6OYE74CHJEBBJ4GOUL5TVD46RJYQAZZ7KS44R6YIL4RUJUZUX","f24eb3a295ce24a4b94edf2b05ec1b5b64e3e529d0f40cbf81ba893d1e954492","https://stellar.expert/explorer/testnet/tx/f24eb3a295ce24a4b94edf2b05ec1b5b64e3e529d0f40cbf81ba893d1e954492","SUCCESS"
15,"verify_credential","Berkeley Software Engineering Stamp","GAPDKCYMJCQIYBF4AYRTAGOVP64CM7KSKN6RLJSDYKHDKCGGDKSEIPR6","53d48e833b0b2b7ec5afa1125f3b76fc8b69fee80fb5da706f583000d71f6c9e","https://stellar.expert/explorer/testnet/tx/53d48e833b0b2b7ec5afa1125f3b76fc8b69fee80fb5da706f583000d71f6c9e","SUCCESS"
16,"register_institution","UCLA Global Public Health Check","GA4CZPBTQ3CNNVJBFKTCJJDOLKSUAGOVFB6XNK2UKTHAR6IASSAZLPID","f8393bc923a9b526159ac3eb74bd03fb131a765c12f2079f0bbbbab616273507","https://stellar.expert/explorer/testnet/tx/f8393bc923a9b526159ac3eb74bd03fb131a765c12f2079f0bbbbab616273507","SUCCESS"
17,"verify_credential","Purdue Aeronautics Integrity Board","GDB4P66AG6NINPLOP3N7IXL7GCQEGBUHIULNILUTRYID7CWPHPU3EEL7","0320c8cd1e1cbbaa9657117ec2a52981604de0a7404a92dbbae9d85e0d9acdc0","https://stellar.expert/explorer/testnet/tx/0320c8cd1e1cbbaa9657117ec2a52981604de0a7404a92dbbae9d85e0d9acdc0","SUCCESS"
18,"credential_exists","NYU Performing Arts Registration","GCETEVLPWEEWKJNN4BW5Y3KCSI726NZASXWAN2Z7373MRHU7C25CCSNU","4ec9867eab7f5679eedd98552910c7bb70857af5095ca73133e106c32a84e2d0","https://stellar.expert/explorer/testnet/tx/4ec9867eab7f5679eedd98552910c7bb70857af5095ca73133e106c32a84e2d0","SUCCESS"
19,"register_institution","Stanford Engineering Integrity Scan","GBR3IB4NC2CVCPIRXDEMECXO63G77YHBZPMSUSAK6F4FJTP6MPMM4ZVV","ccd1aef5b649087601d2aea95410ef7ef798c95e39ca221b3bd1ee8c1b14f8df","https://stellar.expert/explorer/testnet/tx/ccd1aef5b649087601d2aea95410ef7ef798c95e39ca221b3bd1ee8c1b14f8df","SUCCESS"
20,"register_institution","Caltech Space Research Verification","GBXSQGJBIDVAJG7YISUCX5R7AXIXQCZQEROGCRNRRH26DPNQUHSN2S5L","c75112ac72e159700e2b9138287c7a7168c257f0919d7c28a546a27319e3f61e","https://stellar.expert/explorer/testnet/tx/c75112ac72e159700e2b9138287c7a7168c257f0919d7c28a546a27319e3f61e","SUCCESS"
21,"credential_exists","Cornell Healthcare Certification","GAJ3RYDSIPPYICTKLSUHOCJBLXLDFIKT5KL2HAFXLC4EB7TOTNUSVHKY","44af75968182b4d546a8fa3f2f91b11d944edfa0719f0e1535289e3078739261","https://stellar.expert/explorer/testnet/tx/44af75968182b4d546a8fa3f2f91b11d944edfa0719f0e1535289e3078739261","SUCCESS"
22,"verify_credential","Georgetown International Relations Proof","GDEYFV7VVN6LPVFSIHXYPQSSEY3TJFXQ52OUXBDY2TM4OOPL3YRP6G3H","53cc2c0cf908404556cde00078b0c6b241bdf995a76c578a998031a93410d5b4","https://stellar.expert/explorer/testnet/tx/53cc2c0cf908404556cde00078b0c6b241bdf995a76c578a998031a93410d5b4","SUCCESS"
23,"verify_credential","Brown University Design Verification","GDOJRAPK4B2S2V2UFNBHORZURZ3LOAHTF5UVJPZPEFP43J2PEWQJKMU7","0315ad0cb8e6ee99e9e0c6fab6d3ba8c014a05bb251c888063f6ac87826501ed","https://stellar.expert/explorer/testnet/tx/0315ad0cb8e6ee99e9e0c6fab6d3ba8c014a05bb251c888063f6ac87826501ed","SUCCESS"
