wallet_number,contract_function,label,public_key,tx_hash,tx_link,status
1,"verify_credential","On-chain nursing qualification query","GAPMLXHMKBU6NG6ZTDKVJ275HK5TTLZM3F4GHVDUJ7DCE4HURYVMJKZF","9b0ff68cdaf57006d1adbf648a542a9c383afaa5577ffec2c9f5476e4ada1bb7","https://stellar.expert/explorer/testnet/tx/9b0ff68cdaf57006d1adbf648a542a9c383afaa5577ffec2c9f5476e4ada1bb7","SUCCESS"
2,"verify_credential","Logistics and supply chain management verification","GAPJCDJ4TNAJKYODZTJAPTMUSVAWQNNJNNBBRQ26HQTOIKIGRBFFWVFD","e91476c070c418fc952147b73a96807e3bca87787b72c64992338e7243c0c459","https://stellar.expert/explorer/testnet/tx/e91476c070c418fc952147b73a96807e3bca87787b72c64992338e7243c0c459","SUCCESS"
3,"verify_credential","Aerospace engineering validity scan","GAKCZF6PRYDQCEHFYKAC6QTLX7ATBOIKJ7G647GIFL26QUYCR4MIXE2Q","cace3e53c5c49af6eca6a1d0a4b35574c3d7c761dec7e36f78fc85deb3ccc964","https://stellar.expert/explorer/testnet/tx/cace3e53c5c49af6eca6a1d0a4b35574c3d7c761dec7e36f78fc85deb3ccc964","SUCCESS"
4,"register_institution","AIIMS Medical Specialization Registry","GCAS6JQHLZZWTCUDRBO7J4AQ4BPUPTKRZQFXYUSHWKPHV3P35B2P5HVQ","f015096f742f70371c55aab879e54e900bbb1351f8211147352bbe3f7e028c23","https://stellar.expert/explorer/testnet/tx/f015096f742f70371c55aab879e54e900bbb1351f8211147352bbe3f7e028c23","SUCCESS"
5,"register_institution","Gujarat Technological University Certification","GA4XJMSR5WZKJMCAH5FM6FQDTXC7YQRPJMQIPXQ62BLUSGYVYVBA4Z5Z","51f13ec4250559906aff6e3c06a7f0a516d052073e0758e7885c3f953c06cf9a","https://stellar.expert/explorer/testnet/tx/51f13ec4250559906aff6e3c06a7f0a516d052073e0758e7885c3f953c06cf9a","SUCCESS"
6,"register_institution","JNU Social Sciences Credential Issuer","GDFWDEO5HWQPUTKKLN2ICXXBR5NJWXOCZUOX4X72NXDAN6L5F7KBNTRW","299c45d9b8d8b8d817e20b4fc0525abf375dbb6eb4f7eefbdbc1a9931c041028","https://stellar.expert/explorer/testnet/tx/299c45d9b8d8b8d817e20b4fc0525abf375dbb6eb4f7eefbdbc1a9931c041028","SUCCESS"
7,"verify_credential","Financial modeling certification check","GAWKQZWXB4LUBZYV2PMTLD3XVGJ4NPXPLXOUQCB3U5LPUIE4SPTQEYXM","9086fde1d683a31aaaee93fbfdbab7e7995b8a6990efcb85562760ede5bf8636","https://stellar.expert/explorer/testnet/tx/9086fde1d683a31aaaee93fbfdbab7e7995b8a6990efcb85562760ede5bf8636","SUCCESS"
8,"register_institution","Infosys Certified Tech Training Hub","GCYVXBDZK3SQP2AYXGPFV7V3EUHS3NUN6HHMM2AFIECHXXPOHBOFA3B7","a101af7e9e8f7d1ad602df253a1111630f93567c68265ca7ff8aff26829e72c9","https://stellar.expert/explorer/testnet/tx/a101af7e9e8f7d1ad602df253a1111630f93567c68265ca7ff8aff26829e72c9","SUCCESS"
9,"register_institution","Madras University Arts and Science Trust","GBYVUIXJ7GM4IU6S6UGVD63R6T4F3WILB4NPHRQZJTN5MESNKK3WUQ5X","dc0729509dd7b2e1f9659dfcb84ae4754a151e6385c2479c492310dd02ef9baa","https://stellar.expert/explorer/testnet/tx/dc0729509dd7b2e1f9659dfcb84ae4754a151e6385c2479c492310dd02ef9baa","SUCCESS"
10,"credential_exists","Visa processing record confirmation T","GDDVX4KQMSVGXB5OVTIV6GLI5AKVSSLPV26IXHCLEL2ONES3OOS45VQH","f6a63905b29cc93bf6401ccee860d3d28cd1da637bde2a152b5a643f01516ead","https://stellar.expert/explorer/testnet/tx/f6a63905b29cc93bf6401ccee860d3d28cd1da637bde2a152b5a643f01516ead","SUCCESS"
11,"credential_exists","Global talent pool credentials scan V","GC657SQ4JONCNLUZYCO5S3XGRK3GFZWNBC6C7EDVSMM7QFBA6XYO3XNK","00d6ed8fe9edae8e6cf115717681e43b4046e6e05d0a294afc238e2211f2d98a","https://stellar.expert/explorer/testnet/tx/00d6ed8fe9edae8e6cf115717681e43b4046e6e05d0a294afc238e2211f2d98a","SUCCESS"
12,"credential_exists","Freelancer skills validation request W","GAAJR6UFW5AOMFUSWUVYPPKQZTERLSH2EU2MMG5EUKJFSYXRSQK3QEY7","9f0a87910d418faaefbb1855aa982d968302eb06a118aa8c2cb42b4b443a7a47","https://stellar.expert/explorer/testnet/tx/9f0a87910d418faaefbb1855aa982d968302eb06a118aa8c2cb42b4b443a7a47","SUCCESS"
13,"credential_exists","Immutable diploma existence query U","GBD2U5P4SWNZN2TNC6VMBYW34AAUD3UT7QQZ23FAQVCNITS3XZZDEMF5","af00467abd1a57184661bf9425da3a9b98111d4ff5e014b2835bd882fd00eb54","https://stellar.expert/explorer/testnet/tx/af00467abd1a57184661bf9425da3a9b98111d4ff5e014b2835bd882fd00eb54","SUCCESS"
14,"credential_exists","Cross-border academic recognition check R","GCNSEBI44ED4TBEXLUHQ7FSDITQX5Q2YUDVMDV26ZMER7HLGKB2MA4LV","92d8aea65957a2f65f7eebacf5ce48423b885ff741bd4f3627e65c372793448c","https://stellar.expert/explorer/testnet/tx/92d8aea65957a2f65f7eebacf5ce48423b885ff741bd4f3627e65c372793448c","SUCCESS"
15,"credential_exists","Government employment credential audit Q","GADVSCXHT7AXMJ3BOFYFBHU2LLEML5J6GS6VQG6PSER5LNWJVHGWCRQO","3773347c4d7d882e79eb10bc6b1daaa42541ca701e5b33423db03ab8894ce0d8","https://stellar.expert/explorer/testnet/tx/3773347c4d7d882e79eb10bc6b1daaa42541ca701e5b33423db03ab8894ce0d8","SUCCESS"
